angle,dist,cluster_id,label
-0.042,7.37724678237915,1,fondo
-0.031,7.3709882944774625,1,fondo
-0.021,7.365542526102066,1,fondo
-0.01,7.36093137922287,1,fondo
0,7.3571282585906985,1,fondo
0.01,7.354137857484817,1,fondo
0.021,7.351964869184494,1,fondo
0.031,7.354137857484817,1,fondo
0.042,7.351964869184494,1,fondo
0.052,7.357835379333496,1,fondo
0.063,7.365278138036728,1,fondo
0.073,7.373550042743683,1,fondo
0.084,7.382655004520416,1,fondo
0.094,7.392595370006561,1,fondo
0.105,7.403385219039917,1,fondo
0.115,7.415018293914795,1,fondo
0.126,7.427514932174683,1,fondo
0.136,7.44086809390068,1,fondo
0.147,7.455100463275909,1,fondo
0.157,7.470207347021103,1,fondo
0.168,7.486198131694794,1,fondo
0.178,7.503090808200836,1,fondo
0.188,7.5208838121128085,1,fondo
0.199,7.539599045400619,1,fondo
0.209,7.559245112409592,1,fondo
0.22,7.5798267064189915,1,fondo
0.23,7.601357125053406,1,fondo
0.241,7.619279194145203,1,fondo
0.251,7.630625978984833,1,fondo
0.262,7.642833980569839,1,fondo
0.272,7.655929794149399,1,fondo
0.283,7.669922024068832,1,fondo
0.293,7.684815363607407,1,fondo
0.304,7.700605901699066,1,fondo
0.314,7.717324926872253,1,fondo
0.325,7.734963834781647,1,fondo
0.335,7.753535140838623,1,fondo
0.346,7.77305918258667,1,fondo
0.356,7.793538306665421,1,fondo
0.367,7.814994415044785,1,fondo
0.377,7.837432983217239,1,fondo
0.387,6.0244285891819,1,objeto1
0.398,5.877370158863068,1,objeto1
0.408,5.737896458945274,1,objeto1
0.419,5.605452900261879,1,objeto1
0.429,5.479540430784225,1,objeto1
0.44,5.359706931276321,1,objeto1
0.45,5.2455292243909835,1,objeto1
0.461,5.17101989607811,1,objeto1
0.471,5.199308636856079,1,objeto1
0.482,5.17101989607811,1,objeto1
0.492,5.199308636856079,1,objeto1
0.503,5.228486362948417,1,objeto1
0.513,5.25857458521843,1,objeto1
0.524,5.289595205636024,1,objeto1
0.534,5.32157208170414,1,objeto1
0.545,5.354526333179474,1,objeto1
0.555,5.388493159656525,1,objeto1
0.565,5.423486640973091,1,objeto1
0.576,5.45954119451046,1,objeto1
0.586,5.496686544370651,1,objeto1
0.597,5.534949676909447,1,objeto1
0.607,5.574364618401527,1,objeto1
0.618,5.614965395121574,1,objeto1
0.628,5.656785642237663,1,objeto1
0.639,8.437636131048203,1,fondo
0.649,8.484187985877991,1,fondo
0.66,8.532201014986038,1,fondo
0.67,8.581700249195098,1,fondo
0.681,8.632736532363891,1,fondo
0.691,8.685345846300125,1,fondo
0.702,8.739559479532241,1,fondo
0.712,8.79542749370575,1,fondo
0.723,8.852984306201934,1,fondo
0.733,8.912294058504104,1,fondo
0.744,8.973389603567123,1,fondo
0.754,9.036321003036498,1,fondo
0.764,9.13374644068718,1,fondo
0.775,9.23861229040146,1,fondo
0.785,9.346923007097244,1,fondo
0.796,9.458861628665924,1,fondo
0.806,9.5745556558609,1,fondo
0.817,9.69419360206604,1,fondo
0.827,9.817923305578232,1,fondo
0.838,9.945965350522995,1,fondo
0.848,10.078487912740707,1,fondo
0.859,10.21133509344101,1,fondo
0.869,10.339615713415146,1,fondo
0.88,10.472310362539291,1,fondo
0.89,10.60963571387291,1,fondo
0.901,10.751794360637664,1,fondo
0.911,10.899014709091187,1,fondo
0.922,11.051508739013672,1,fondo
0.932,11.20960106888771,1,fondo
0.942,11.36484457824707,1,fondo
0.953,11.496728072271347,1,fondo
0.963,11.63299430691719,1,fondo
0.974,11.773817715730667,1,fondo
0.984,11.919412625131606,1,fondo
0.995,12.069987886047363,1,fondo
1.005,12.225755478258133,1,fondo
1.016,12.386953194580078,1,fondo
1.026,12.585298998508453,1,fondo
1.037,12.82234401884079,1,fondo
1.047,13.069936402111054,1,fondo
2.555,5.963161739425659,0,objeto2
2.566,5.922981793413162,0,objeto2
2.576,5.88398259824276,0,objeto2
2.587,5.84613012763977,0,objeto2
2.597,5.809398959674835,0,objeto2
2.608,5.773757414712906,0,objeto2
2.618,5.739177333078384,0,objeto2
2.628,5.705634075055122,0,objeto2
2.639,5.673103000926972,0,objeto2
2.649,5.641555559911728,0,objeto2
2.66,5.610974934425354,0,objeto2
2.67,5.581332964792251,0,objeto2
2.681,5.552611660108567,0,objeto2
2.691,5.524791073937416,0,objeto2
2.702,5.552611660108567,0,objeto2
2.712,5.524791073937416,0,objeto2
2.723,5.624612821760177,0,objeto2
2.733,5.7575745966959,0,objeto2
2.744,5.897586459302902,0,objeto2
2.754,6.045212385306359,0,objeto2
2.765,6.201064456543922,0,objeto2
2.775,6.3658239807224275,0,objeto2
